id,source,event_type,external_event_id,payload,processed,created_at
126,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE3ODYzNzkwNDM3MTI1Njg1MDU2MzgwNzA1MTc3NgZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771867086567,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""1241154608154375""},""recipient"":{""id"":""17841465353051870""},""timestamp"":1771867084364,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE3ODYzNzkwNDM3MTI1Njg1MDU2MzgwNzA1MTc3NgZDZD"",""attachments"":[{""type"":""share"",""payload"":{""ig_post_media_id"":""18028454807550245"",""title"":""We'll Take Your Class For You With A+"",""url"":""https://lookaside.fbsbx.com/ig_messaging_cdn/?asset_id=18028454807550245&signature=Ab1xCmMOtDhq-eT_qdU0PA_zICa9vqAdxr2AsghCQKKBPIH8o7S2ksrz1GJrIWVzk0_hwLQj75mYzzfaCKTteIGKHSfrwS0oqYD2_DDMDV9ni-HUVmGVheF2r_HMglofJJfrIKOY_O2bjEEq0xzoAsgq45y-jPARuaoorFMJVqU4aV0jzcbO9iMRbfS9vBixCaqgBD80Iulc6sslf6U_2vd9fUlMfH0""}},{""type"":""ig_post"",""payload"":{""ig_post_media_id"":""18028454807550245"",""title"":""We'll Take Your Class For You With A+"",""url"":""https://lookaside.fbsbx.com/ig_messaging_cdn/?asset_id=18028454807550245&signature=Ab3dSwal39YbTbW6aVsxqaN68C9uOutyUmmXNkhsHcWHr3txwcqvfUo6BA6ZuJfHMFRebx7PVw3AZahPgSc6BeNdEUvHaQBAo7irjba0XQOGur60IEIALfjvzTusS5jxHDkAT5P3DI9jVpASocoxgOruZaoAwX34Pv0Og2fM8hawbNjbjw-2c5s5nWYgj8g1tQpb8dPrJCrYsNwTWUALNtgCBgHqqko""}}]}}]}]}",true,2026-02-23 17:18:09.405077+00
127,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE3ODY0NTE4MTE1MDYyNTMyNzEzOTE4MDc3MzM3NgZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771867092310,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""1241154608154375""},""recipient"":{""id"":""17841465353051870""},""timestamp"":1771867084759,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE3ODY0NTE4MTE1MDYyNTMyNzEzOTE4MDc3MzM3NgZDZD"",""text"":""How does this work?"",""referral"":{""source"":""ADS"",""type"":""OPEN_THREAD"",""ad_id"":""120232426519720399"",""ads_context_data"":{""ad_title"":""Insta OC - Pic Only_Group_1"",""photo_url"":""https://scontent.xx.fbcdn.net/v/t45.1600-4/548884806_24040605075616916_5691264981155306314_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=yW5Esb2P03kQ7kNvwFT3f1c&_nc_oc=AdlT7AS9gha2kbOw7QqiSSk8bO1MwdvSZb5BxJcq5PjKpMDC59lVZJNHf18abI3LurblouA8p5VqU1Uc9A2rCVNQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=1&_nc_ht=scontent.xx&_nc_gid=Ko4M8DL8hIFzLbjhjNf5Sg&oh=00_AfvVd2JPHCtBqn6efKeZ8W79aHzdEaqUJ-G4a84A09fiNw&oe=69A27787"",""post_id"":""122275077674232992""}}}}]}]}",true,2026-02-23 17:18:12.82726+00
128,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwODU0ODI2NTQxMjozMjY4NTE4OTkyMzgwMDY2NDg4NzA4MjU3MTU4MjY2ODgwMAZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771867697376,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""1619160692565976""},""recipient"":{""id"":""17841465353051870""},""timestamp"":1771867696174,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwODU0ODI2NTQxMjozMjY4NTE4OTkyMzgwMDY2NDg4NzA4MjU3MTU4MjY2ODgwMAZDZD"",""text"":""Need help with a class."",""referral"":{""source"":""ADS"",""type"":""OPEN_THREAD"",""ad_id"":""120232426519720399"",""ads_context_data"":{""ad_title"":""Insta OC - Pic Only_Group_1"",""photo_url"":""https://scontent.xx.fbcdn.net/v/t45.1600-4/548884806_24040605075616916_5691264981155306314_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=d5bd00&_nc_ohc=yW5Esb2P03kQ7kNvwFT3f1c&_nc_oc=AdlT7AS9gha2kbOw7QqiSSk8bO1MwdvSZb5BxJcq5PjKpMDC59lVZJNHf18abI3LurblouA8p5VqU1Uc9A2rCVNQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=1&_nc_ht=scontent.xx&_nc_gid=W7vRMo82IY69SjN3HrFpig&oh=00_AftcM-gjVlBU5-guLPZ2cdlQ13RwWleo5nM1idMvftREEA&oe=69A27787"",""post_id"":""122275077674232992""}}}}]}]}",true,2026-02-23 17:28:18.033541+00
129,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwODU0ODI2NTQxMjozMjY4NTE4OTk1NTQ2NzAyODI5MzU0MzExNTE0MDEwNDE5MgZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771867698918,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""17841465353051870""},""recipient"":{""id"":""1619160692565976""},""timestamp"":1771867697890,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwODU0ODI2NTQxMjozMjY4NTE4OTk1NTQ2NzAyODI5MzU0MzExNTE0MDEwNDE5MgZDZD"",""text"":""Sure we can help. May we know the class name please?"",""is_echo"":true}}]}]}",true,2026-02-23 17:28:19.564846+00
130,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE5MjE0MTEzOTU1MzM0MjUzOTUxMDA2NzQ5NDkxMgZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771867817075,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""17841465353051870""},""recipient"":{""id"":""1241154608154375""},""timestamp"":1771867816376,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE5MjE0MTEzOTU1MzM0MjUzOTUxMDA2NzQ5NDkxMgZDZD"",""text"":""The process is simple. Our subject expert will take care of your online exam, assignment or the entire online class for you. The service is 100% anonymous. 100% money-back guarantee on A grade."",""is_echo"":true}}]}]}",true,2026-02-23 17:30:17.738685+00
131,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE5MjM4OTg1MTc0NjM2NjMwNDM4NzI4MzgxMjM1MgZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771867830096,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""17841465353051870""},""recipient"":{""id"":""1241154608154375""},""timestamp"":1771867829859,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI3NjExMjgwNzg3NjI2NTQxMjozMjY4NTE5MjM4OTg1MTc0NjM2NjMwNDM4NzI4MzgxMjM1MgZDZD"",""text"":""May we know the subject you need help with?"",""is_echo"":true}}]}]}",true,2026-02-23 17:30:30.710203+00
132,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI2NTU1MTQ4ODYzNzUzNDMyOTkxMTMwNDUxOTY4MAZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771871796480,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""26278003688496554""},""recipient"":{""id"":""17841465353051870""},""timestamp"":1771871795959,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI2NTU1MTQ4ODYzNzUzNDMyOTkxMTMwNDUxOTY4MAZDZD"",""text"":""PMP TEST""}}]}]}",true,2026-02-23 18:36:37.230277+00
133,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI2NjE2NjEyNzM5ODU2MjAwMTE5MzQ1Mzc0ODIyNAZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771871829487,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""17841465353051870""},""recipient"":{""id"":""26278003688496554""},""timestamp"":1771871829279,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI2NjE2NjEyNzM5ODU2MjAwMTE5MzQ1Mzc0ODIyNAZDZD"",""text"":""Is it proctored?"",""is_echo"":true}}]}]}",true,2026-02-23 18:37:10.105583+00
134,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI3MTg1MzkwNzk0MDMyNDc5NDYwNjU5Mjk4MzA0MAZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771872138089,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""26278003688496554""},""recipient"":{""id"":""17841465353051870""},""timestamp"":1771872137614,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI3MTg1MzkwNzk0MDMyNDc5NDYwNjU5Mjk4MzA0MAZDZD"",""text"":""Yes""}}]}]}",true,2026-02-23 18:42:18.748844+00
135,instagram,EVENT_RECEIVED,aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI3Mjg5NjgyNTU1MTcyMTc3NTcxODEyMTYwMzA3MgZDZD,"{""object"":""instagram"",""entry"":[{""time"":1771872194292,""id"":""17841465353051870"",""messaging"":[{""sender"":{""id"":""17841465353051870""},""recipient"":{""id"":""26278003688496554""},""timestamp"":1771872194150,""message"":{""mid"":""aWdfZAG1faXRlbToxOklHTWVzc2FnZAUlEOjE3ODQxNDY1MzUzMDUxODcwOjM0MDI4MjM2Njg0MTcxMDMwMTI0NDI2MDA5OTQwNjYwMjcxNjgzNDozMjY4NTI3Mjg5NjgyNTU1MTcyMTc3NTcxODEyMTYwMzA3MgZDZD"",""text"":""Although we don't assist with proctored exams but we can only assist if you are able to provide us pictures of the question and we will send the answer."",""is_echo"":true}}]}]}",true,2026-02-23 18:43:14.894281+00
